ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,COMPLEJIDA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_12A14,P_12A14_F,P_12A14_M,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M
8,Chihuahua,4,NO,Altamente Concentrado 2,400838,203286,197552,12431,6024,6407,98620,15913,7760,8153,33882,16713,17169,18191,8880,9311,7154,3471,3683,1392,661,731,1115,511,604,1463,660,803
8,Chihuahua,5,NO,Muy Disperso 1,421054,211385,209669,19782,9628,10154,128243,22037,10747,11290,42909,21170,21739,22131,10813,11318,9532,4579,4953,2189,1022,1167,2243,979,1264,3955,1932,2023
8,Chihuahua,6,NO,Concentrado 2,476403,245289,231114,17716,8744,8972,122511,20469,9991,10478,41239,20181,21058,21264,10504,10760,5808,2794,3014,1420,652,768,1024,491,533,4153,2138,2015
8,Chihuahua,7,NO,Muy Disperso 2,362596,183660,178936,17589,8621,8968,116034,19798,9832,9966,39289,19332,19957,20223,10091,10132,9340,4625,4715,2195,1030,1165,2717,1293,1424,13507,6981,6526
8,Chihuahua,8,NO,Concentrado 1,461356,235187,226169,19717,9739,9978,131763,23030,11393,11637,44378,21851,22527,22099,10843,11256,7839,3802,4037,1752,811,941,1484,604,880,5285,2788,2497
8,Chihuahua,9,NO,Muy Disperso 2,332374,169086,163288,18509,9213,9296,116486,20269,10140,10129,40170,20020,20150,19770,9793,9977,9730,4812,4918,4067,1989,2078,3445,1588,1857,72053,37239,34814
9,Ciudad de México,1,NO,Altamente Concentrado 1,394439,199344,195095,13959,6863,7096,100204,16520,8075,8445,33781,16811,16970,17823,8964,8859,5665,2740,2925,1098,543,555,925,384,541,6621,3432,3189
9,Ciudad de México,10,NO,Altamente Concentrado 2,414411,218968,195443,11180,5378,5802,75576,13445,6658,6787,24842,12368,12474,13017,6364,6653,2640,1313,1327,1288,646,642,792,398,394,3592,2216,1376
9,Ciudad de México,11,NO,Altamente Concentrado 1,329305,173663,155642,9011,4370,4641,68492,11498,5734,5764,23128,11357,11771,12162,5988,6174,2742,1359,1383,1215,600,615,823,366,457,3804,1968,1836
9,Ciudad de México,12,NO,Altamente Concentrado 1,332157,171867,160290,8193,4105,4088,56738,9605,4814,4791,18785,9175,9610,9946,4869,5077,2493,1260,1233,1056,495,561,730,340,390,6206,3212,2994
9,Ciudad de México,13,NO,Altamente Concentrado 1,404643,212311,192332,11527,5631,5896,85488,13522,6625,6897,28779,14300,14479,15477,7645,7832,3136,1487,1649,1091,540,551,816,358,458,4411,2286,2125
9,Ciudad de México,14,NO,Altamente Concentrado 2,339445,177686,161759,8791,4316,4475,76029,11660,5774,5886,26709,13205,13504,14084,6999,7085,2851,1346,1505,935,439,496,816,369,447,4200,2308,1892
9,Ciudad de México,15,NO,Altamente Concentrado 1,434153,232032,202121,9319,4572,4747,62030,11006,5391,5615,20403,10077,10326,10515,5149,5366,1755,841,914,1162,590,572,669,341,328,3540,2134,1406
9,Ciudad de México,16,NO,Altamente Concentrado 1,397270,207845,189425,10934,5459,5475,86602,13584,6692,6892,29752,14694,15058,15827,7846,7981,3685,1786,1899,1500,711,789,1093,520,573,3631,1925,1706
9,Ciudad de México,17,NO,Concentrado 1,422145,219789,202356,14368,7047,7321,105111,17426,8572,8854,35793,17536,18257,18459,9258,9201,4988,2489,2499,1978,920,1058,1353,614,739,4336,2534,1802
9,Ciudad de México,18,NO,Altamente Concentrado 1,370215,193199,177016,9932,4955,4977,80105,12324,6070,6254,27587,13594,13993,14673,7225,7448,3685,1832,1853,1631,788,843,1071,501,570,6133,3082,3051
9,Ciudad de México,19,NO,Altamente Concentrado 1,371947,193277,178670,10867,5432,5435,87464,13150,6563,6587,30494,14841,15653,16094,7960,8134,4213,2056,2157,1346,630,716,1077,501,576,3553,1834,1719
9,Ciudad de México,2,NO,Altamente Concentrado 1,396804,209417,187387,10721,5297,5424,79661,12958,6430,6528,26556,13129,13427,14341,7207,7134,3479,1685,1794,1406,671,735,923,445,478,4998,2658,2340
9,Ciudad de México,20,NO,Altamente Concentrado 1,352544,182299,170245,11314,5575,5739,87195,13566,6697,6869,29944,14840,15104,15924,7774,8150,4834,2390,2444,1637,765,872,1343,613,730,4103,2129,1974
9,Ciudad de México,21,NO,Concentrado 1,433394,221014,212380,15035,7490,7545,117121,18461,9180,9281,40816,20031,20785,21275,10496,10779,5818,2819,2999,1427,655,772,1339,623,716,11580,5839,5741
